"A1";"A2";"A6";"A7";"A8";"A9";"A10";"A12";"A13";"A15";"A16"
"b";31,42;"c";"v";0,5;"t";"f";"f";"g";0;"-"
"b";26,17;"k";"h";1,25;"f";"f";"t";"g";17;"-"
"b";32,83;"cc";"h";2,75;"t";"t";"f";"g";2072;"+"
"b";23;"m";"v";0,5;"f";"f";"t";"s";0;"-"
"a";22,92;"cc";"v";0,04;"t";"f";"f";"g";1349;"+"
"b";27,83;"w";"v";2,25;"f";"t";"t";"g";3;"-"
"a";23,75;"w";"v";0,25;"f";"t";"t";"g";4;"-"
"a";19,58;"w";"v";1,665;"f";"f";"f";"g";5;"-"
"b";45,17;"c";"v";2,5;"t";"f";"t";"g";0;"-"
"b";30,58;"m";"v";0,125;"f";"f";"t";"s";0;"-"
"b";45;"cc";"h";14;"t";"t";"t";"g";2000;"+"
"a";35,17;"ff";"ff";0;"f";"t";"f";"g";200;"-"
"b";20,67;"q";"v";0,375;"t";"t";"f";"g";0;"-"
"b";24,58;"w";"v";0,875;"t";"f";"t";"g";0;"-"
"b";23,5;"k";"v";0,415;"f";"t";"t";"g";80;"-"
"b";19;"c";"v";2,335;"f";"f";"t";"g";6;"-"
"b";22,67;"q";"h";1,335;"t";"f";"f";"g";0;"+"
"a";20,83;"e";"dd";1;"f";"f";"f";"g";0;"-"
"b";41,5;"i";"bb";3,5;"f";"f";"f";"g";0;"+"
"a";24,5;"c";"v";0;"f";"f";"f";"g";0;"-"
"b";29,42;"c";"h";0,25;"f";"t";"t";"g";108;"-"
"b";56;"k";"h";8;"t";"f";"t";"g";2028;"+"
"b";23,58;"w";"v";2,625;"t";"t";"t";"g";347;"-"
"b";28;"w";"v";0,75;"f";"f";"t";"g";67;"-"
"b";16,33;"aa";"v";0,665;"f";"t";"f";"g";21;"-"
"b";19,33;"q";"v";1;"t";"f";"t";"g";400;"+"
"b";52,5;"k";"v";6,29;"t";"t";"f";"g";11202;"+"
"a";18,83;"aa";"v";0,085;"t";"f";"f";"g";0;"+"
"a";57,08;"i";"bb";1;"t";"f";"t";"g";2197;"-"
"b";33,17;"c";"h";2,04;"t";"t";"t";"g";18027;"+"
"a";47,25;"q";"h";2,75;"t";"t";"f";"g";892;"+"
"b";25,25;"aa";"v";0,5;"f";"f";"f";"g";0;"-"
"b";32,08;"m";"v";2,5;"t";"f";"t";"g";0;"+"
"b";28,25;"m";"v";0,96;"t";"t";"t";"g";0;"+"
"b";43,25;"q";"h";0,21;"t";"t";"f";"g";90;"-"
"b";39,58;"w";"v";8,625;"t";"t";"t";"g";0;"+"
"a";47,42;"x";"v";13,875;"t";"t";"t";"g";1704;"+"
"a";26,08;"aa";"v";1,415;"t";"f";"f";"g";150;"+"
"a";24,83;"w";"v";1;"f";"f";"t";"g";6;"-"
"b";32,92;"aa";"v";1,75;"f";"t";"t";"g";0;"-"
"b";39,83;"m";"v";0,25;"t";"f";"f";"s";0;"-"
"b";34;"c";"v";1,5;"f";"f";"t";"g";0;"-"
"b";22,17;"i";"v";0,125;"f";"f";"f";"g";10;"-"
"b";19,5;"k";"v";0,29;"f";"f";"f";"g";364;"-"
"b";53,92;"e";"v";8,665;"t";"t";"f";"g";0;"+"
"a";23;"j";"j";0;"f";"t";"f";"g";53;"-"
"b";51,83;"ff";"ff";1,5;"f";"f";"f";"g";1;"-"
"b";39,33;"cc";"h";10;"t";"t";"t";"g";0;"+"
"a";22,67;"q";"v";0,75;"f";"f";"f";"s";0;"-"
"b";23,33;"c";"h";1,415;"t";"f";"f";"g";200;"+"
"a";19,67;"q";"h";0,29;"t";"t";"f";"g";99;"+"
"b";19,33;"c";"bb";0,585;"f";"t";"t";"g";7;"-"
"a";23,5;"w";"v";0,875;"f";"f";"t";"g";0;"-"
"b";25,17;"c";"v";1,25;"f";"t";"f";"g";22;"-"
"a";18,92;"aa";"v";0,75;"t";"t";"f";"g";591;"+"
"b";54,33;"c";"h";2,625;"t";"t";"t";"g";284;"+"
"b";20,17;"w";"v";1,71;"t";"f";"f";"s";0;"+"
"b";39;"cc";"v";3,5;"t";"t";"t";"g";0;"+"
"b";36,42;"d";"v";0,585;"f";"f";"f";"g";3;"-"
"a";22,42;"q";"v";2,585;"t";"t";"f";"g";3257;"+"
"b";25,33;"c";"v";0,29;"t";"t";"t";"g";5124;"+"
"b";28,33;"w";"v";11;"t";"f";"t";"g";0;"+"
"b";47,17;"w";"v";5,5;"f";"f";"f";"g";150;"-"
"a";35,75;"aa";"v";0,75;"t";"t";"f";"g";1583;"+"
"a";41,33;"i";"bb";2,25;"t";"f";"t";"g";300;"+"
"b";34,92;"w";"v";0;"t";"f";"t";"g";200;"+"
"b";30,75;"d";"v";0,585;"f";"f";"t";"s";0;"-"
"a";22,5;"q";"v";1,75;"t";"t";"f";"g";990;"-"
"b";39,5;"c";"bb";6,5;"t";"t";"f";"g";1210;"+"
"b";25,83;"cc";"v";0,5;"f";"f";"f";"g";2;"-"
"a";24,33;"i";"bb";4,5;"f";"f";"f";"g";456;"-"
"b";37,5;"c";"bb";0,25;"t";"f";"t";"g";400;"-"
"a";23,5;"q";"v";8,5;"t";"t";"t";"g";0;"+"
"a";25,33;"c";"h";2,75;"t";"f";"t";"g";1;"-"
"b";18,17;"c";"h";1,085;"f";"f";"f";"g";13;"-"
"b";48,08;"i";"bb";1;"f";"f";"f";"g";2;"-"
"b";35,58;"k";"v";1,5;"f";"f";"t";"g";0;"-"
"a";38,92;"aa";"v";0,25;"f";"f";"f";"g";390;"-"
"b";20,75;"j";"v";0,29;"f";"f";"f";"g";184;"-"
"b";52,42;"d";"v";3,75;"f";"f";"t";"g";350;"-"
"a";27,25;"m";"h";0,125;"f";"t";"t";"g";108;"-"
"b";39,92;"aa";"v";0,5;"t";"t";"f";"g";1000;"+"
"a";16,92;"i";"v";0,165;"f";"t";"t";"g";35;"-"
"a";24,92;"ff";"ff";0;"t";"f";"f";"g";0;"-"
"b";21,5;"i";"v";0,5;"t";"f";"t";"g";68;"-"
"a";30,25;"k";"v";5,5;"f";"f";"t";"s";0;"-"
"b";27,83;"d";"h";3;"f";"f";"f";"g";537;"-"
"b";18,58;"d";"v";0,54;"f";"f";"f";"g";0;"-"
"b";23,08;"i";"v";3,5;"t";"t";"f";"g";742;"+"
"a";39,08;"c";"v";3;"f";"f";"f";"g";0;"-"
"a";36,75;"e";"v";5;"t";"f";"t";"g";4000;"+"
"b";19,42;"w";"h";1,46;"t";"t";"f";"g";2954;"+"
"b";20,67;"c";"v";0,125;"f";"f";"f";"g";44;"-"
"b";34,25;"cc";"h";7,415;"t";"f";"t";"g";0;"+"
"b";33,67;"c";"v";1,5;"f";"f";"f";"p";0;"-"
"b";16;"w";"v";0,085;"f";"t";"f";"g";6;"-"
"b";23,92;"cc";"h";0,125;"f";"f";"f";"g";1;"-"
"b";49,58;"ff";"ff";0;"t";"t";"f";"g";0;"-"
"a";22,25;"ff";"ff";3,25;"f";"f";"f";"g";0;"-"
"b";41,17;"cc";"h";7;"t";"t";"f";"g";0;"+"
"b";22,83;"m";"v";1,29;"t";"t";"f";"g";800;"+"
"a";28,58;"q";"v";2,415;"t";"f";"t";"g";0;"-"
